date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,-9,-11.5,-4.6,,,119,14.9,,1030.7,
2016-01-02,-10.8,-13.7,-8.8,0,10,101,18.2,,1034.8,
2016-01-03,-14.2,-16.4,-11.3,0,10,106,11.4,,1027.8,
2016-01-04,-13.1,-16.8,-9,,10,102,13.5,,1010,
2016-01-05,-12.8,-14.3,-10.7,,,97,8.7,,1006.4,
2016-01-06,-12.6,-15.3,-10,0,10,85,11.1,,1009.6,
2016-01-07,-12.6,-14.7,-10.7,0,10,76,14,,1009.8,
2016-01-08,-7.1,-13.1,-3.7,0.8,10,120,14.4,,1002.9,
2016-01-09,-0.6,-5.5,0.1,,30,215,11.3,,1006,
2016-01-10,-1.2,-2.6,-0.3,0,30,117,18,,1005.1,
2016-01-11,-0.9,-1.3,-0.5,0,30,132,11.3,,995.8,
2016-01-12,-1.1,-2.2,0,4.8,89,342,8.6,,992.5,
2016-01-13,-1.3,-2.7,-0.1,2,109,286,14.6,,999.7,
2016-01-14,-2.7,-4.6,-1,2.8,130,235,14.3,,1009.6,
2016-01-15,-1.6,-4.7,-0.8,0.5,109,52,7.1,,1009.8,
2016-01-16,-5.9,-9.6,-2.4,0,109,,,,,
2016-01-17,-4.6,-7.5,-2.5,0,109,249,12.9,,1019.8,
2016-01-18,-7.1,-9.5,-3.5,0,109,227,14.1,,1020.6,
2016-01-19,-7.4,-10.8,-5.4,0,109,205,23.1,,1014.8,
2016-01-20,-5.6,-8.2,-2.4,0.8,109,221,23,,1009.5,
2016-01-21,-4.3,-8,-1.6,3,150,309,10.2,,1020.5,
2016-01-22,-4.2,-8.3,-1.9,3.8,221,252,12.9,,1031.7,
2016-01-23,-7.4,-9.3,-5,0,201,172,17.3,,1029.8,
2016-01-24,-2.8,-7.6,0.5,0,180,222,20.3,,1027.3,
2016-01-25,0.9,0.3,1.9,0.3,150,234,14.6,,1021.2,
2016-01-26,2.9,0.9,4.6,0.5,89,215,23.3,,1017.8,
2016-01-27,5.3,2.2,6.7,1.3,,216,29.1,,1010.3,
2016-01-28,4.6,1.9,6.9,5.1,,235,28.7,,1010.3,
2016-01-29,2.3,0.4,4,1.5,,216,30.8,,1017.1,
2016-01-30,5.2,2.8,6.3,0.5,,205,30.9,,1006.8,
2016-01-31,1.1,0,5.3,13,,229,27.3,,999.4,
2016-02-01,1.9,0.3,5,2.5,10,229,24,,1005.9,
2016-02-02,5.6,1.5,7.3,4.8,,232,26.6,,1001.6,
2016-02-03,3.3,0.9,5.4,1.5,,237,34.2,,1002,
2016-02-04,0.6,-0.6,2.1,1,10,240,22.4,,1009,
2016-02-05,-0.2,-2.2,1.5,0,,234,20.7,,1018.3,
2016-02-06,2.3,0,4.3,0.5,10,177,18.8,,1017.5,
2016-02-07,4.3,2.1,7.1,0,,173,24.8,,1008.2,
2016-02-08,5.7,2.3,8.4,1.5,,184,25.5,,1001.1,
2016-02-09,5.9,4.9,8.2,0,,185,25.7,,994.8,
2016-02-10,5,2.8,7.2,0.3,,223,18.5,,990,
2016-02-11,1.8,0.9,3.5,0,,282,8.3,,995.9,
2016-02-12,1.3,0.1,2.4,4.6,10,208,16.5,,1001.3,
2016-02-13,0,-1.9,1.8,2.3,,109,8.9,,1000.5,
2016-02-14,1.6,0.3,2.9,0,,78,6.6,,995.6,
2016-02-15,2.4,,3.9,0,,,,,,
2016-02-16,0.2,-1.9,2.4,2.8,,,,,1030.9,
2016-02-17,-1.1,-4,0.7,1.5,,,,,1033.6,
2016-02-18,3.2,-0.2,,2.3,,,,,,
2016-02-19,0.8,0,2.9,1,,347,12.9,,1017,
2016-02-20,0.6,-1.4,2.5,8.4,20,205,18.3,,1012.5,
2016-02-21,3.6,1.6,6.2,9.9,,216,20.4,,1001.2,
2016-02-22,3.9,1.9,6.6,10.7,,237,21.5,,995.3,
2016-02-23,2.8,1.5,5.3,0.5,,229,26.1,,1002.9,
2016-02-24,1.2,-0.5,2.5,0.3,,231,20.7,,1007.6,
2016-02-25,-0.6,-1.8,1,1,,220,21,,1008.9,
2016-02-26,-1,-3.1,1,0,,,,,,
2016-02-27,-0.8,-2.9,2.6,,,189,13.5,,1017.1,
2016-02-28,-1.2,-3.2,1.7,,,12,7.5,,1020,
