date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,-8.9,-10.5,-7.7,,,127,18,,1032.7,
2016-01-02,-10.8,-13.9,-8.7,,,106,20.1,,1036.5,
2016-01-03,-15,-17.5,-12.5,,,,,,1028.8,
2016-01-04,-13.5,-16.3,-10.6,,,114,12.3,,1011.7,
2016-01-05,-13.2,-14.3,-12.1,,,,,,1007.1,
2016-01-06,-11.2,-13.9,-8.5,,,,,,1009.9,
2016-01-07,-12.6,-15.1,-10.1,,,47,7.8,,1010.4,
2016-01-08,-8.4,-11.7,-5.1,,,123,15,,1005.4,
2016-01-09,-1.3,-4.8,0.7,,,,,,1006.5,
2016-01-10,-1.1,-1.9,-0.4,,,136,19.2,,1007.8,
2016-01-11,-0.5,-1.7,0.2,,,,,,997.3,
2016-01-12,-2.1,-4.8,-0.1,,,318,11.4,,991.7,
2016-01-13,-1.2,-3.1,0.2,,,265,11.4,,999,
2016-01-14,-2.9,-4.5,-1.7,,,240,12.5,,1009.5,
2016-01-15,-1.6,-3.9,-0.2,,,92,7.5,,1009.9,
2016-01-16,,,,,,,,,,
2016-01-17,-5.3,-11.8,-3.1,,,264,8.3,,1019.6,
2016-01-18,-6.2,-9.2,-3.1,,,256,10.1,,1020.6,
2016-01-19,-7.3,-9.7,-5.6,,,211,13.1,,1016.5,
2016-01-20,-6.5,-8.3,-3.3,,,206,18.3,,1010.9,
2016-01-21,-8.5,-14.8,-3.1,,,308,12.8,,1020,
2016-01-22,-5.6,-12.2,-1.6,,,,,,1031.3,
2016-01-23,-8.7,-13.8,-4.2,,,157,11,,1032,
2016-01-24,-5.4,-9.5,0.4,,,202,9.6,,1028.2,
2016-01-25,1.1,0.5,1.8,,,256,8.9,,1021.3,
2016-01-26,2.5,1.1,4.7,,,218,13.2,,1019.1,
2016-01-27,5.1,2.3,7,,,227,15.9,,1011.8,
2016-01-28,5.7,3.1,7.4,,,248,20,,1010.4,
2016-01-29,2.9,0.3,5.8,,,232,18.6,,1018.3,
2016-01-30,6,4.6,6.9,,,213,20.3,,1009.4,
2016-01-31,2.6,0.8,5.2,,,241,17.4,,1000,
2016-02-01,2.1,1.1,3.5,,,241,15.6,,1006.7,
2016-02-02,6.6,3.7,8.5,,,246,18.2,,1002.7,
2016-02-03,4.8,2.5,6.6,,,249,21.3,,1002.7,
2016-02-04,1.2,-1,2.5,,,241,14.3,,1009,
2016-02-05,0.6,-1,2.7,,,251,14.7,,1018.1,
