date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,-9.2,-10.7,-7.6,,,108,11.9,,1031.4,
2016-01-02,-10.8,-14.4,-9.1,,,104,15.6,,1034.6,
2016-01-03,-15,-17.3,-12,,,,9.6,,1027.8,
2016-01-04,-14,-16.9,-9.6,,,88,10.7,,1010,
2016-01-05,-14.2,-16.4,-11.6,,,79,8.4,,1006.2,
2016-01-06,-9.5,-14.2,-7,,,68,11.6,,1008.2,
2016-01-07,-8.2,-9.1,-7.3,,,66,11.7,,1008.3,
2016-01-08,-5.5,-8.4,0.6,,,127,10.7,,1003.9,
2016-01-09,0.2,-1.3,0.8,,,238,11.6,,1007.1,
2016-01-10,-1.3,-3.3,-0.1,,,108,14.6,,1006,
2016-01-11,0,-0.8,0.8,,,167,10.1,,996.3,
2016-01-12,-1,-2,0.2,,,339,9,,992.3,
2016-01-13,-0.5,-2.4,0.8,,,262,11.4,,1000.2,
2016-01-14,-1.8,-2.8,-0.3,,,242,14.4,,1011,
2016-01-15,-0.6,-1.4,-0.2,,,,,,1009,
2016-01-16,,,,,,,,,,
2016-01-17,-7.5,-13.5,-2.2,,,,,,1020.8,
2016-01-18,-10,-13.9,-6.9,,,,,,1022,
2016-01-19,-7.7,-9.7,-5.8,,,,,,1017.6,
2016-01-20,-7,-9.1,-4.1,,,213,11,,1012.3,
2016-01-21,-4.5,-6.9,-2.2,,,,,,1020.5,
2016-01-22,-5.4,-10.1,-2.4,,,,,,1032.5,
2016-01-23,-9.4,-14.2,-5.6,,,,,,1031.5,
2016-01-24,-3.3,-7.9,0.8,,,238,10.4,,1029,
2016-01-25,1,0.6,1.4,,,257,10.4,,1022.3,
2016-01-26,2,0.7,3.7,,,215,10.5,,1020.4,
2016-01-27,5,2.2,6.8,,,237,15.9,,1013.7,
2016-01-28,5.4,2.4,7.5,,,253,22.1,,1013.2,
2016-01-29,2.6,-0.2,4.9,,,237,18.8,,1020.6,
2016-01-30,6.2,5,7.4,,,222,21.9,,1010.9,
2016-01-31,2.9,1.3,5.2,,,251,23,,1002.4,
2016-02-01,2,0.2,5.4,,,245,16.7,,1008.6,
2016-02-02,7.8,6,9.2,,,250,26,,1005,
2016-02-03,4.6,2.5,6.1,,,250,29.6,,1005.8,
2016-02-04,1.9,-0.2,3.3,,,259,19.1,,1011.3,
2016-02-05,0.3,-1.6,1.5,,,260,14.4,,1020.2,
2016-02-06,2.2,0,4.5,,,186,10.5,,1020.1,
2016-02-07,4.2,1,8.3,,,162,12.2,,1011.1,
