date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,-10.2,-13.1,-7.5,0,,107,11.6,,1032.3,
2016-01-02,-12.7,-15.6,-8.8,0,10,93,14.3,,1035.3,
2016-01-03,-15.9,-18.4,-14.1,0,10,93,8.7,,1028.1,
2016-01-04,-15.2,-17.2,-12.5,0,10,96,11.4,,1010.6,
2016-01-05,-13.2,-19.1,-8.8,0,10,79,7.1,,1005.8,
2016-01-06,-7.7,-9.9,-6.5,0.3,20,80,10.2,,1007.7,
2016-01-07,-6.3,-7.2,-5.3,0.5,41,44,7.4,,1007.5,
2016-01-08,-4.7,-7.6,0.9,0,30,140,10.1,,1005.6,
2016-01-09,-0.2,-3.8,1.1,1.3,30,,,,1007.8,
2016-01-10,-2.3,-5.4,-0.2,0,20,100,12.9,,1007.4,
2016-01-11,0.6,-1.4,2.2,0,30,,,,997.9,
2016-01-12,-0.5,-2.8,1.5,10.4,30,304,10.4,,991,
2016-01-13,-0.1,-2.9,1.9,0.5,30,250,12.6,,1000.4,
2016-01-14,-1.5,-2.6,1.5,1,10,246,13.2,,1011.8,
2016-01-15,-1.9,-3.4,-0.4,0.3,30,94,8.4,,1008.6,
2016-01-16,-6.6,,-2.1,5.3,99,,,,,
2016-01-17,-7.8,-15.7,-3.7,0,89,,,,1020.6,
2016-01-18,-7.1,-11.4,-3.5,0,71,,,,1021.7,
2016-01-19,-7.2,-11.6,-5,0,71,200,6.8,,1018.8,
2016-01-20,-6.7,-9.4,-4.6,0,71,197,11.1,,1014.2,
2016-01-21,-7.3,-13,-3.7,0.5,79,293,12.8,,1019.8,
2016-01-22,-6.6,-15.3,-2.9,0,71,260,8.6,,1032.4,
2016-01-23,-10.1,-16.6,-4.2,0,71,,,,1033.2,
2016-01-24,-5.1,-11.9,0.2,0,71,202,7.2,,1030,
2016-01-25,1,-2,1.5,0,61,259,11.1,,1022.7,
2016-01-26,2.5,0.6,4.6,0.8,30,214,10.8,,1022,
2016-01-27,5.6,3.2,6.8,1.5,,235,14.6,,1015.5,
2016-01-28,6.6,2.6,10.1,0,,251,18.9,,1014.3,
2016-01-29,3.1,-0.6,5.9,0,,237,15,,1022.4,
2016-01-30,6.5,4.2,9.4,0,,213,17.4,,1013.9,
2016-01-31,3.4,1.9,6.3,2.3,,249,19.8,,1003.7,
2016-02-01,1.7,0.2,3,1.8,20,234,13.7,,1010.1,
2016-02-02,8.2,1.8,10,3.3,,241,21.8,,1007.5,
2016-02-03,5.1,2.2,9.1,3.3,,252,23.6,,1007.7,
2016-02-04,1.5,-0.3,3.8,0,,252,15.6,,1012.3,
2016-02-05,0.6,-0.5,1.8,1,20,259,12.8,,1020.6,
2016-02-06,1.4,-1.1,3.2,0,,191,9.9,,1022.6,
2016-02-07,3.9,-0.1,8.6,0,,161,13.4,,1014.2,
2016-02-08,5.8,3.5,8.8,0,,179,14.9,,1008.3,
2016-02-09,7.8,5.2,10.2,0,,192,16.1,,1002,
2016-02-10,7.4,2.8,11.6,0.5,,156,13.8,,991.5,
2016-02-11,1.1,0.2,5.7,9.9,10,274,16.5,,994.7,
2016-02-12,2.6,0.7,5.8,3.8,,211,12.5,,1005.4,
2016-02-13,2.1,-0.2,3.6,0,,111,11.7,,1000.6,
2016-02-14,3.6,2.4,5.6,0.3,,136,8.9,,995.9,
2016-02-15,3.3,0.6,,2.3,,,,,,
2016-02-16,2.9,-0.5,5.4,3.8,,319,12.8,,1028,
2016-02-17,0.4,-4.9,3.9,0,,85,15.6,,1034.3,
2016-02-18,4.9,2.3,6.9,0,,,,,,
2016-02-19,3.1,2,5.3,2,,,,,1014.5,
2016-02-20,0.9,-0.1,3.3,7.9,10,231,12.9,,1016.4,
2016-02-21,3.1,0.2,6.7,1.8,10,212,13.5,,1006.1,
2016-02-22,7.1,3.7,11,3.6,,244,20.1,,999.3,
2016-02-23,2.4,0.4,5.1,7.4,,236,10.4,,1006.9,
2016-02-24,2.1,-0.2,5.4,0,,254,12.2,,1010.7,
2016-02-25,1.1,,5.7,,,,,,,
2016-02-26,-0.4,-2.4,2.3,0,,,,,1013.1,
2016-02-27,-2.1,-3.3,-0.4,0,,150,7.2,,1019.1,
