date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,0.8,-0.2,2.1,,,,,,1025.5,
2016-01-02,-6,-9.5,0.4,,,113,13.2,,1027.6,
2016-01-03,-10,-11.4,-8.2,,,117,12.6,,1021.4,
2016-01-04,-10.1,-12.3,-6.6,,,113,11.4,,1003.7,
2016-01-05,-10.8,-12.8,-7.1,,,113,7.1,,1004,
2016-01-06,-10.5,-14.2,-6.4,,,102,7.7,,1007.4,
2016-01-07,-8.4,-13.2,-4.3,,,123,7.4,,1005.7,
2016-01-08,-0.7,-4.1,2,,,182,9.8,,996.8,
2016-01-09,0.3,-1.2,2,,,,,,1005.2,
2016-01-10,0.3,-1.6,1.7,,,153,8.4,,998.5,
2016-01-11,0.5,0.2,1.1,,,160,5.4,,993.2,
2016-01-12,0.6,-0.3,1.4,,,,,,992.8,
2016-01-13,0.6,-2.1,2.3,,,267,13.4,,1002.5,
2016-01-14,0,-1.6,1.9,,,182,4.7,,1009.5,
2016-01-15,-0.6,-1.9,1.4,,,65,8.4,,1009.5,
2016-01-16,,,,,,,,,,
2016-01-17,-1.3,-2.9,0,,,,,,1021.3,
2016-01-18,-4.5,-5.4,-3.2,,,210,6,,1021.2,
2016-01-19,-4.5,-6.7,-2.9,,,199,8,,1014.1,
2016-01-20,-1.8,-3.5,-0.5,,,271,11.7,,1012.7,
2016-01-21,-2.5,-7.2,-0.4,,,284,13.4,,1025.6,
2016-01-22,-6.4,-8.9,-3,,,178,6.6,,1031.8,
2016-01-23,-4.2,-7.4,-1,,,,,,1026.3,
2016-01-24,2.4,-0.7,3.9,,,,,,1028.5,
2016-01-25,5.4,2.1,7.2,,,225,6.6,,1022,
2016-01-26,6.7,5.9,8.1,,,206,7.4,,1017.8,
2016-01-27,8.5,6.8,10.2,,,209,10.8,,1010,
2016-01-28,7,3.3,10.1,,,239,12.2,,1013.8,
2016-01-29,4.9,2.3,8.4,,,205,10.8,,1016.9,
2016-01-30,6.9,2.8,8.3,,,215,11.1,,1004.9,
2016-01-31,2.9,1.7,4.8,,,230,11.3,,1002,
2016-02-01,4.3,0.9,8.9,,,215,8.3,,,
2016-02-02,,,,,,,,,,
2016-02-03,5.2,2.9,6.8,,,247,14.3,,1005.7,
2016-02-04,2.5,1,4.1,,,252,9.6,,1013.5,
2016-02-05,1.8,-1,4.1,,,210,7.2,,1020.2,
2016-02-06,6,4.2,8.3,,,180,6.9,,1013.6,
2016-02-07,6.4,2.4,10.6,,,173,7.7,,1003.4,
2016-02-08,6.3,4,8.4,,,182,11,,995.2,
2016-02-09,6.9,5.7,8.7,,,184,10.8,,989.2,
2016-02-10,4.3,1.1,7.8,,,207,9.8,,987.6,
2016-02-11,3.6,2.7,4.6,,,,,,996.9,
2016-02-12,2.5,0.8,3.3,,,231,4.7,,1001.2,
2016-02-13,1.3,-0.9,5.1,,,,,,998,
2016-02-14,2.2,0.3,3.2,,,71,20.6,,994,
2016-02-15,,,,,,,,,,
2016-02-16,0.5,-3.5,2.2,,,,,,1034.6,
2016-02-17,-0.4,-4.1,3.6,,,117,11.1,,1029.3,
2016-02-18,,,,,,,,,,
2016-02-19,0.8,-1.1,2.5,,,,,,1018.4,
2016-02-20,2.6,0.6,4.6,,,193,9.2,,1009.6,
2016-02-21,5.8,4.4,9,,,219,7.2,,1001,
2016-02-22,5.8,3.8,10.2,,,244,10.4,,998.1,
2016-02-23,4.5,3.3,6.4,,,237,8.7,,1004.8,
2016-02-24,2.9,0.3,5.8,,,246,9.5,,1010.2,
2016-02-25,,,,,,,,,,
2016-02-26,1.8,-2,5.3,,,226,6.3,,1011.1,
2016-02-27,0.3,-3.1,4.5,,,136,5.6,,1015.5,
2016-02-28,1.6,-1.1,3.3,,,,,,1020,
2016-02-29,1.4,-1.5,2.5,,,61,21.3,,1026,
2016-03-01,1.3,-2,3.1,,,70,20.7,,1017.6,
2016-03-02,2.5,-0.1,6.2,,,175,7.8,,999.8,
2016-03-03,1.3,-1.1,3.8,,,,,,1002.9,
2016-03-04,2.5,-1.4,8,,,154,6.9,,1004.6,
2016-03-05,3.9,2.3,6.8,,,111,9.3,,999.8,
2016-03-06,3.2,2.3,4.2,,,,,,996.3,
2016-03-07,1.9,-1.6,5.9,,,,,,1004.1,
2016-03-08,1.8,-2.8,8.2,,,198,4.8,,1013.1,
2016-03-09,2.3,-1.7,7.8,,,131,7.2,,1016.2,
2016-03-10,3.4,1.1,4.4,,,56,16.2,,1022.3,
2016-03-11,2.9,2,3.6,,,38,24.6,,1029.9,
2016-03-12,2.8,2,3.8,,,28,22.5,,1033.6,
2016-03-13,2.1,1.2,3.4,,,28,17.4,,1037.8,
2016-03-14,2.4,0.3,5.1,,,294,10.8,,1034.3,
2016-03-15,4,3.3,4.6,,,34,24.9,,1029.4,
2016-03-16,3.2,-1,5.2,,,65,10.2,,1035.1,
2016-03-17,3.7,-1.1,10.3,,,,,,1027.9,
2016-03-18,4.3,3.6,4.9,,,315,14.6,,1018.1,
2016-03-19,4.7,1.1,10,,,,,,1018.1,
2016-03-20,4.4,2.2,5.7,,,,,,1011.7,
2016-03-21,4.8,1.3,7,,,255,8.1,,1009.2,
2016-03-22,4.6,2,6.4,,,311,8.1,,1008.3,
2016-03-23,,,,,,,,,,
2016-03-24,4.1,1.2,5.3,,,318,8.7,,1012.1,
2016-03-25,5.7,2.9,7.8,,,192,5.3,,1010.3,
2016-03-26,6,3.3,8,,,307,8.7,,1016.7,
2016-03-27,,,,,,,,,,
2016-03-28,9.7,4.1,15.6,,,163,7.7,,1006.6,
2016-03-29,7,4.4,10.4,,,209,5.4,,1003.1,
2016-03-30,6.4,2.6,11.9,,,212,7.4,,1007.8,
2016-03-31,6,4.1,8.5,,,,,,1012.8,
2016-04-01,5.4,1.8,8.1,,,,,,1019.6,
2016-04-02,7.5,-0.5,15,,,156,7.4,,1022.8,
2016-04-03,11.7,5.7,19,,,145,7.1,,1014.8,
2016-04-04,11.7,8.7,16.1,,,,,,1008.8,
2016-04-05,9,7.8,10.2,,,,,,1006,
2016-04-06,10.5,7.3,13.7,,,223,8.3,,1006.3,
2016-04-07,,,,,,,,,,
2016-04-08,7.8,3.6,12.6,,,215,6.5,,1010.6,
2016-04-09,6,1.9,9.3,,,67,9.9,,1011.8,
2016-04-10,6.6,3,8,,,57,17.7,,1016.7,
2016-04-11,6.9,6.1,8.1,,,54,24.5,,1019.1,
2016-04-12,7.3,6.2,9,,,46,14.9,,1013.4,
2016-04-13,7.4,5.8,8.8,,,,,,1008.1,
2016-04-14,6.8,5.6,7.8,,,359,15.2,,1009.9,
2016-04-15,7.1,0.1,13.9,,,,,,1006.6,
2016-04-16,11.1,6.7,16.2,,,186,7.8,,1001.1,
2016-04-17,9.1,5.8,13,,,245,8.9,,1006.3,
2016-04-18,,,,,,,,,,
2016-04-19,9.5,7,12.5,,,261,14.9,,1017,
2016-04-20,8.5,4.9,12,,,281,14.1,,1025,
