date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,-9.2,-11.1,-4.9,0,,115,14.7,,1031.2,
2016-01-02,-10.5,-14.4,-8.5,0,,101,22.7,,1033.9,
2016-01-03,-14.6,-16.5,-12.6,0,,97,14.9,,1027.3,
2016-01-04,-13.7,-16.4,-10.8,0,,94,15.9,,1009.3,
2016-01-05,-13.1,-17.1,-10.4,0,,90,10.2,,1005.4,
2016-01-06,-6.6,-11.7,-5.3,0.5,10,79,12.6,,1006.9,
2016-01-07,-5.2,-5.8,-4.9,0,10,63,11.7,,1007.2,
2016-01-08,-2.9,-5.9,2.1,0,10,141,11.7,,1004.5,
2016-01-09,0.4,-3.5,2.1,3.3,20,,11.5,,1007.9,
2016-01-10,-1.1,-5,0.4,0,10,106,16.8,,1005.8,
2016-01-11,1.2,-0.5,2.4,0,10,129,10.7,,996.7,
2016-01-12,0.5,-1.5,2.2,1.5,,,11,,991.9,
2016-01-13,1,-1.5,2.8,0.3,10,246,12.6,,1000.9,
2016-01-14,-0.8,-1.8,1.7,1.3,10,230,11.9,,1012.1,
2016-01-15,-1.1,-3.1,0.1,0,10,87,10.4,,1008.1,
2016-01-16,-4.1,-8.1,-0.9,7.9,119,303,12.7,,1015.1,
2016-01-17,-4.7,-9.1,-2,0,119,,5.7,,1020.8,
2016-01-18,-6.1,-8,-2.9,0,109,,5.3,,1022,
2016-01-19,-5.9,-8.2,-3.4,0.3,109,210,5.3,,1018.6,
2016-01-20,-6.4,-10,-3.3,0,109,199,8.7,,1013.8,
2016-01-21,-3.2,-5.3,-2,0.3,119,285,18.9,,1020.6,
2016-01-22,-4.8,-11.4,-2.1,0,119,268,12.2,,1032.9,
2016-01-23,-9.9,-13.7,-3.7,0,109,136,8,,1032.3,
2016-01-24,-2.9,-12,1.5,0,99,,8.4,,1029.9,
2016-01-25,1.7,0.6,2.7,0.8,79,250,9.9,,1023.1,
2016-01-26,3.3,0.4,6.2,1,30,,8,,1021.8,
2016-01-27,7.3,3.3,8.5,1.5,,236,10.8,,1015.6,
2016-01-28,7.4,2.6,11.2,0,,250,19.5,,1015,
2016-01-29,4.4,0.5,7.1,0,,243,11.3,,1022.6,
2016-01-30,7.7,6.4,9.3,0,,207,10.8,,1013.4,
2016-01-31,4.2,2.9,8.4,2,,256,19.2,,1004.4,
2016-02-01,3.8,1.5,6.3,0.5,,240,13.7,,1010.2,
2016-02-02,9.5,3.4,11.1,1.8,,252,19.7,,1007.7,
2016-02-03,5.8,3.7,10.1,3.8,,258,22.2,,1008.5,
2016-02-04,2.4,0.7,5,0,,264,19.8,,1012.9,
2016-02-05,1.6,0.4,2.4,0.8,,262,15.9,,1021.3,
2016-02-06,2.7,-1.5,6.2,0,,161,8.4,,1021.6,
2016-02-07,3.9,0,9.4,0,,141,13.1,,1012.6,
2016-02-08,6.1,1.9,10.2,0,,158,11.4,,1006.9,
2016-02-09,8.4,6.9,10,0,,185,13.2,,1000.7,
2016-02-10,5.6,0.3,9.4,0.5,,202,15.8,,991.4,
2016-02-11,1.7,0.2,3.4,16.3,41,277,16.7,,996.5,
2016-02-12,3.3,1.5,6.5,5.6,,205,9.9,,1004.9,
2016-02-13,3.3,1.6,5,0,,106,13.4,,999.5,
2016-02-14,5.1,2.6,8.6,0.3,,133,8.9,,995,
2016-02-15,5.1,1.5,8,0,,2,7.8,,1006.1,
2016-02-16,3.7,1.2,6.3,0,,314,17.4,,1029.1,
2016-02-17,1.9,-3.2,4.6,0,,91,23,,1032.8,
2016-02-18,6.5,2.9,8.2,0.8,,115,15.1,,1019.1,
2016-02-19,3.4,0.3,7,5.1,,30,11,,1014.4,
2016-02-20,1.2,-0.1,3.2,10.4,20,220,12.2,,1016.4,
2016-02-21,4.4,1.4,8.1,3,,209,12.2,,1005.7,
2016-02-22,8.1,3.6,12.5,4.6,,256,20.4,,999.7,
2016-02-23,3.4,2,5.4,6.1,,247,9,,1007,
2016-02-24,2.6,0.5,5.3,0,,259,15.5,,1011.2,
2016-02-25,1.1,-1.8,5.3,0.8,10,,7.1,,1011.9,
2016-02-26,-0.8,-3,2.4,0,,224,5.7,,1013.3,
2016-02-27,-1.3,-5.6,2.2,1.3,,130,10,,1018.3,
2016-02-28,1.8,-2.2,5,0,,110,8.4,,1018.8,
2016-02-29,1,-0.4,2.1,0.3,,50,16.8,,1022.5,
2016-03-01,0.7,0.2,1.2,5.8,,19,16.1,,1012.7,
2016-03-02,1.4,0.1,3.2,7.6,10,203,10.1,,1006.8,
2016-03-03,4.3,0.8,8.4,0,,115,13.4,,1004.2,
2016-03-04,2.6,1.4,4.9,0,,83,10.5,,1006.7,
2016-03-05,3,1.3,5.4,0,,107,15.3,,1004.7,
2016-03-06,5.6,1.8,9.4,1,,148,11.7,,1000.4,
2016-03-07,4.1,-1.8,8.2,0,,96,8.4,,1006.5,
2016-03-08,4.8,2.6,6.9,0,,329,12,,1010.4,
2016-03-09,3.8,-2.9,7.1,0,,102,12.5,,1018,
2016-03-10,4.9,3.5,6.7,0,,46,15.6,,1020,
2016-03-11,5.4,4.6,6.1,1.5,,15,14.6,,1023.9,
2016-03-12,4.4,3.3,5.6,0.8,,7,15.5,,1028.1,
2016-03-13,4.7,1.3,7,0,,27,17.1,,1033.1,
2016-03-14,1.7,-1.9,6.1,0.3,,295,13.8,,1029.9,
2016-03-15,2.5,0.1,4.2,4.8,30,50,17,,1025.1,
2016-03-16,4.3,0.7,8,0,,24,9.8,,1033.3,
2016-03-17,4.8,-0.2,10.1,0,,276,17,,1025.3,
2016-03-18,4.8,0.3,7.1,0,,290,23.4,,1013.2,
2016-03-19,1.6,-3.1,5.1,0,,284,18,,1016.8,
2016-03-20,4.2,3.5,6.3,0,,264,16.8,,1011,
2016-03-21,5.9,2.6,9.6,0,,256,15.5,,1009.2,
2016-03-22,4.1,0.8,7,1.5,,282,15.2,,1005.8,
2016-03-23,2.7,-3.2,7.1,0,,,10.8,,1009.3,
2016-03-24,1.8,-3.1,6.7,0,,50,9.9,,1012.1,
2016-03-25,3.7,-3.4,8.1,0,,164,5.3,,1013.9,
2016-03-26,5.1,2.8,7.1,0,,,6.4,,1015.8,
2016-03-27,4.7,,,5.1,,,,,,
2016-03-28,7.7,1,14.6,0,,137,11.7,,1012,
2016-03-29,7.1,4.3,12.7,0,,184,12.6,,1007.1,
2016-03-30,8.4,4,13,2,,245,10.7,,1011.7,
2016-03-31,8.5,5.1,13.1,1,,252,9.3,,1012.9,
2016-04-01,5.6,2.6,9.1,5.6,,323,18.2,,1015.6,
2016-04-02,6.2,-0.1,12.1,2,,264,7.7,,1026.3,
2016-04-03,9.3,1.6,16.2,0,,132,12.6,,1020.4,
2016-04-04,13.9,6,21.1,0,,108,13.7,,1011.8,
2016-04-05,16.3,8.7,23.6,0,,110,10.7,,1006.9,
2016-04-06,11.9,9.2,19,0.3,,204,12.3,,1007.9,
2016-04-07,12.7,3.6,18.4,0,,165,7.6,,1011,
2016-04-08,10.5,7.8,16.2,0,,324,11.6,,1010.9,
2016-04-09,10.1,7,12.1,1,,17,21,,1007.6,
2016-04-10,8.8,7.3,10.8,5.6,,23,16.8,,1010,
2016-04-11,11.2,7.2,14.4,0.5,,27,14.1,,1014.3,
2016-04-12,11.9,8.7,16.2,2,,,6.5,,1011.9,
2016-04-13,12.3,9.7,16,0,,258,9.8,,1006.8,
2016-04-14,9.9,7.4,13,0,,328,12,,1005.7,
2016-04-15,9,2.5,14.1,0,,265,7.5,,1009.9,
2016-04-16,12.2,6.9,18.2,0.3,,165,9.3,,1007.2,
2016-04-17,13.3,6.5,22.3,0.5,,212,13.2,,1006.6,
2016-04-18,9.9,7.8,13.1,0,,275,14.7,,,
2016-04-19,8.4,6.1,12.2,0,,247,12.9,,1017.5,
2016-04-20,7.1,4.3,12.5,0,,280,19.5,,1020.7,
2016-04-21,8.7,0.4,14.7,2.3,,261,13.3,,1022,
2016-04-22,8.5,5.4,13.1,0,,272,18.6,,1013,
2016-04-23,9.3,2.9,14.1,0,,161,6.6,,1009,
2016-04-24,7.1,3.7,11.7,1,,287,16.7,,1004.7,
2016-04-25,6,2.2,9.7,0,,301,9.5,,1007,
