date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,-10.7,-13.5,-5.7,,,,,,,
2016-01-02,-12.3,-15.2,-6.8,,,,,,,
2016-01-03,-13.6,-17.2,-7.6,,,,,,,
2016-01-04,-12.1,-15.7,-8.9,,,,,,,
2016-01-05,-7.3,-10.1,-4.2,,,,,,,
2016-01-06,-4.3,-8.7,1.4,,,,,,,
2016-01-07,-3.9,-6.3,-1.8,,,,,,,
2016-01-08,-3.1,-9.9,1.6,,,,,,,
2016-01-09,-2.3,-8.1,1,,,,,,,
2016-01-10,0.3,-1.1,2.1,,,,,,,
2016-01-11,1.6,-3,8.6,,,,,,,
2016-01-12,2.1,0.2,4.2,,,,,,,
2016-01-13,0.2,-0.9,1.5,,,30,9,,,
2016-01-14,,,,,,,,,,
2016-01-15,-2.7,-5.4,-0.5,,,2,5.6,,,
2016-01-16,,,,,,,,,,
2016-01-17,-10,-13.1,-8,,,,,,,
2016-01-18,-8.9,-12.5,-6.6,,,,,,,
2016-01-19,-11.7,-15.6,-6,,,,,,,
2016-01-20,-11.2,-17.2,-5.7,,,,,,,
2016-01-21,-8.3,-8.8,-7.6,,,,,,,
2016-01-22,-9.5,-15,-5.7,,,,,,,
2016-01-23,-10.7,-15.9,-5.1,,,,,,,
2016-01-24,-2.9,-7.8,-0.2,,,,,,,
2016-01-25,-1,-5.6,2.6,,,,,,,
2016-01-26,4.8,2.6,7,,,338,5.7,,,
2016-01-27,7.1,2.8,9,,,12,10.1,,,
2016-01-28,6.9,1.4,10.4,,,21,10.2,,,
2016-01-29,1.6,-0.8,4.3,,,,,,,
2016-01-30,,,,,,,,,,
2016-01-31,1.3,-1.8,6.6,,,36,12.9,,,
2016-02-01,2.7,0.3,6.6,,,31,8.7,,,
2016-02-02,7,3.7,10.6,,,49,10.7,,,
2016-02-03,4,-0.7,8.2,,,36,13.2,,,
2016-02-04,-1.7,-3,-0.1,,,18,6.8,,,
2016-02-05,-3.4,-6.3,-2.1,,,6,5.7,,,
2016-02-06,-0.5,-4,3.5,,,,,,,
2016-02-07,4.6,-3.7,10.4,,,322,14.1,,,
2016-02-08,6.2,2.8,9,,,,,,,
2016-02-09,7.5,6,8.8,,,185,21.8,,,
2016-02-10,2.9,-2.4,8.1,,,185,9.3,,,
2016-02-11,-1.6,-4.3,0.6,,,,,,,
2016-02-12,-2.5,-8.2,2.4,,,,,,,
2016-02-13,0.2,-1.8,2.5,,,,,,,
2016-02-14,2.6,-2.3,9.2,,,314,5.4,,,
2016-02-15,,,,,,,,,,
2016-02-16,0,-1.5,0.8,,,,,,,
2016-02-17,2.9,-2.4,10.4,,,59,8.6,,,
2016-02-18,,,,,,,,,,
2016-02-19,2,-2.5,4.7,,,,,,,
2016-02-20,-2.3,-4.7,0.6,,,,,,,
2016-02-21,2.7,-3.2,7.3,,,,,,,
2016-02-22,10.7,7.9,13,,,256,16.1,,,
2016-02-23,6.9,-0.7,10.3,,,,,,,
2016-02-24,-2.1,-6.3,-0.1,,,,,,,
2016-02-25,,,,,,,,,,
2016-02-26,-3.9,-8.5,-1.4,,,,,,,
2016-02-27,-5,-10.7,0,,,,,,,
2016-02-28,3.6,-2.7,9.4,,,,,,,
2016-02-29,2.3,-0.1,4,,,,,,,
2016-03-01,-0.1,-3.1,2.2,,,,,,,
2016-03-02,-0.1,-3.5,4.6,,,,,,,
2016-03-03,0.9,-1.7,3.9,,,,,,,
2016-03-04,0.6,-0.4,1.4,,,,,,,
2016-03-05,3.7,-2.7,8.1,,,,,,,
2016-03-06,5.3,0.7,7.9,,,,,,,
2016-03-07,1.7,-1.7,5.5,,,,,,,
2016-03-08,2.3,0.8,5.6,,,,,,,
2016-03-09,2.2,0,6,,,,,,,
2016-03-10,1.1,-0.9,2.7,,,,,,,
2016-03-11,2.4,0.9,4.4,,,,,,,
2016-03-12,1.5,0,2.6,,,,,,,
2016-03-13,0,-1.9,0.9,,,,,,,
2016-03-14,-0.9,-5.6,3.6,,,,,,,
2016-03-15,-2.2,-3,-0.6,,,,,,,
2016-03-16,,,,,,,,,,
2016-03-17,0.5,-6.2,7.2,,,171,5.4,,,
2016-03-18,3.2,-2.6,9,,,,,,,
2016-03-19,-1.4,-3.3,0.9,,,320,6.8,,,
2016-03-20,0.3,-2.9,3.7,,,244,10.2,,,
2016-03-21,1.2,0,2.5,,,246,6.9,,,
2016-03-22,1,0,3.4,,,253,8.7,,,
2016-03-23,,,,,,,,,,
2016-03-24,-0.6,-2.9,2.6,,,1,6.6,,,
2016-03-25,0.6,-4.8,5.4,,,,,,,
2016-03-26,1.4,0.6,3.1,,,,,,,
2016-03-27,,,,,,,,,,
2016-03-28,4.1,-1.1,9.7,,,,,,,
2016-03-29,6.3,0.2,11.4,,,,,,,
2016-03-30,8.7,3.3,12.7,,,245,9.8,,,
2016-03-31,11.6,3.8,17.4,,,,,,,
2016-04-01,4.7,-1.6,11.2,,,,,,,
2016-04-02,3,-4.2,11.5,,,,,,,
2016-04-03,7.4,-1.1,17.5,,,,,,,
2016-04-04,11.8,2.3,20.5,,,194,6.2,,,
2016-04-05,13.8,5.5,22.1,,,,,,,
2016-04-06,10.7,6.8,15.9,,,,,,,
2016-04-07,,,,,,,,,,
2016-04-08,8.8,5.6,12.2,,,,,,,
2016-04-09,6.4,4.9,7.4,,,,,,,
2016-04-10,4.7,3.2,5.7,,,,,,,
2016-04-11,5.8,3.1,10.2,,,,,,,
2016-04-12,8.5,2.5,13.8,,,,,,,
2016-04-13,10,3.5,15.4,,,,,,,
2016-04-14,7.4,5,10.5,,,,,,,
2016-04-15,7.7,4.2,13.1,,,263,7.8,,,
2016-04-16,10.2,2.9,17.8,,,219,6.3,,,
2016-04-17,13.2,5.3,19.4,,,,,,,
2016-04-18,,,,,,,,,,
2016-04-19,5.1,1.1,9.5,,,,,,,
2016-04-20,3.3,1.1,6.1,,,,,,,
2016-04-21,5.9,-0.7,13,,,,,,,
2016-04-22,7.6,0.8,13,,,,,,,
2016-04-23,6,0.2,12,,,,,,,
2016-04-24,1.8,-0.6,6.2,,,,,,,
2016-04-25,-0.5,-1.3,1.1,,,,,,,
2016-04-26,2.9,-3.8,8.2,,,211,6.3,,,
2016-04-27,3.4,0,6.2,,,,,,,
2016-04-28,2.5,-3,7.1,,,,,,,
2016-04-29,4.6,0.8,8.6,,,,,,,
2016-04-30,6.1,-1.5,13.2,,,,,,,
2016-05-01,8.4,0.7,13.8,,,,,,,
2016-05-02,9.2,7,12.1,,,,,,,
2016-05-03,9.2,6.4,13.2,,,,,,,
2016-05-04,9.2,5.1,14.5,,,,,,,
2016-05-05,9.6,6.9,14.1,,,,,,,
2016-05-06,9.9,4,15.6,,,,,,,
2016-05-07,9,3.9,13.6,,,,,,,
2016-05-08,9.9,6.1,14.7,,,,,,,
2016-05-09,7.9,2.4,13,,,,,,,
2016-05-10,9.8,2.5,17,,,,,,,
2016-05-11,10.6,4.8,15.7,,,,,,,
2016-05-12,11.7,3.3,18.8,,,,,,,
2016-05-13,10.3,6.4,12.9,,,,,,,
2016-05-14,9.4,8.3,10.4,,,,,,,
2016-05-15,6.1,3.3,8.3,,,268,8.3,,,
2016-05-16,4.4,0.1,8.3,,,254,6.9,,,
2016-05-17,3.3,0.1,6.8,,,231,6.8,,,
2016-05-18,5,2.4,8.4,,,233,6.3,,,
2016-05-19,9.3,4.6,13.3,,,,,,,
2016-05-20,10.8,5.3,15.6,,,,,,,
2016-05-21,,,,,,,,,,
2016-05-22,14.9,6.5,21,,,,,,,
2016-05-23,16.5,7.8,22.9,,,,,,,
2016-05-24,15.4,9.4,21.2,,,,,,,
2016-05-25,11.8,9,16.5,,,225,4.8,,,
2016-05-26,13.4,9.8,18,,,,,,,
2016-05-27,13.9,5.7,20.5,,,,,,,
2016-05-28,15,11.1,22.3,,,,,,,
2016-05-29,16.8,10.1,23.1,,,,,,,
2016-05-30,,,,,,,,,,
2016-05-31,15.5,11.1,22.4,,,,,,,
2016-06-01,14.1,8,20.4,,,,,,,
2016-06-02,10.8,6.7,13.1,,,,,,,
2016-06-03,13,8.7,17.5,,,,,,,
2016-06-04,13.9,6.6,19.7,,,,,,,
2016-06-05,14.6,8.8,20.3,,,,,,,
2016-06-06,12.8,9.1,15,,,,,,,
2016-06-07,10.5,2.8,16.5,,,,,,,
2016-06-08,12.8,4.2,20.1,,,,,,,
2016-06-09,13.6,8.5,18.9,,,,,,,
2016-06-10,13.9,10,18.3,,,,,,,
2016-06-11,11.7,8.9,14.2,,,,,,,
2016-06-12,12.3,8.6,16.1,,,,,,,
2016-06-13,12.8,7.2,17.8,,,,,,,
2016-06-14,13.8,9.5,18.8,,,,,,,
2016-06-15,13.9,7.9,18.8,,,,,,,
2016-06-16,16.1,7.3,20.8,,,,,,,
2016-06-17,21.7,13.6,24.9,,,196,16.7,,,
2016-06-18,14,8,19,,,,,,,
2016-06-19,14.9,8,20.1,,,,,,,
2016-06-20,16.4,13,23,,,351,5.1,,,
2016-06-21,18.1,12.9,23.7,,,,,,,
2016-06-22,18.7,11.8,23.7,,,,,,,
2016-06-23,19.9,12.9,25,,,,,,,
2016-06-24,20.3,13.6,28.4,,,,,,,
2016-06-25,22.8,15.5,29.2,,,237,5.6,,,
2016-06-26,21.4,16.3,26.5,,,282,7.5,,,
2016-06-27,13.9,12.3,15.7,,,,,,,
2016-06-28,12.5,10,15.3,,,,,,,
2016-06-29,16,7.7,23.3,,,223,4.7,,,
2016-06-30,18.5,11.2,25.9,,,,,,,
2016-07-01,16.9,12.4,22.5,,,,,,,
2016-07-02,18.7,11.7,24.6,,,,,,,
2016-07-03,13.3,9.8,18,,,,,,,
2016-07-04,13.4,8.1,18.6,,,,,,,
2016-07-05,15.2,8.1,21.8,,,,,,,
2016-07-06,14.6,10.9,18.8,,,256,8.7,,,
2016-07-07,12.1,8.8,16.2,,,258,7.8,,,
2016-07-08,14.6,6.5,21.3,,,,,,,
2016-07-09,14.9,11.5,18.7,,,,,,,
2016-07-10,16.2,9.1,22,,,,,,,
2016-07-11,20.8,11.7,29.1,,,,,,,
2016-07-12,20.4,14.1,27.1,,,45,5,,,
2016-07-13,18.1,15.7,23.2,,,,,,,
2016-07-14,15.8,9.1,20.2,,,279,6.3,,,
2016-07-15,12.2,9,15.6,,,284,6,,,
2016-07-16,10.8,10.2,11.4,,,,,,,
2016-07-17,11.4,10.7,12.1,,,,,,,
2016-07-18,12.8,10.5,14.6,,,256,5.3,,,
2016-07-19,12.8,10.9,15.2,,,,,,,
2016-07-20,14.4,11.7,18.2,,,,,,,
2016-07-21,16.3,10.3,21.6,,,,,,,
2016-07-22,18.2,14,22.8,,,,,,,
2016-07-23,18.1,11.2,24.4,,,,,,,
2016-07-24,17.3,11.6,22.9,,,,,,,
2016-07-25,17.4,14.4,22.2,,,,,,,
2016-07-26,17.4,14.8,22.9,,,,,,,
2016-07-27,17.8,13.5,23.2,,,,,,,
2016-07-28,17.4,13.9,21.2,,,,,,,
2016-07-29,18.3,15.2,22.6,,,,,,,
2016-07-30,18.1,11.6,23.9,,,,,,,
2016-07-31,19.2,13.8,26.2,,,,,,,
2016-08-01,15.3,14,17.3,,,,,,,
2016-08-02,14.8,9.7,18.9,,,,,,,
2016-08-03,15.6,11.8,20.6,,,,,,,
2016-08-04,18.4,12.1,24.6,,,,,,,
2016-08-05,19.8,13.3,25.3,,,,,,,
2016-08-06,13.2,10.2,16.4,,,,,,,
2016-08-07,13.5,9.7,17.3,,,,,,,
2016-08-08,15.9,7.7,23.6,,,,,,,
2016-08-09,16.9,11.1,23.7,,,,,,,
2016-08-10,10.9,7.9,14.7,,,,,,,
2016-08-11,8.1,6.1,10,,,,,,,
2016-08-12,9.6,3.2,14.3,,,221,4.7,,,
2016-08-13,13.2,8,17.7,,,,,,,
2016-08-14,17.3,12.3,23.1,,,232,6.8,,,
2016-08-15,14.3,9.3,17.6,,,,,,,
2016-08-16,13.2,9.1,16.8,,,,,,,
2016-08-17,11.5,7.3,14.7,,,,,,,
2016-08-18,12.3,5.9,18.8,,,,,,,
2016-08-19,14.7,7.8,21.3,,,,,,,
2016-08-20,16.6,9.6,22.4,,,,,,,
2016-08-21,16.3,11.5,21.9,,,268,4.1,,,
2016-08-22,12,11,13,,,,,,,
2016-08-23,14.4,11,18.6,,,,,,,
2016-08-24,15.4,11.2,19.3,,,,,,,
2016-08-25,14.3,7.7,21,,,,,,,
2016-08-26,15.5,8,23.1,,,,,,,
2016-08-27,16.8,8.8,24.2,,,,,,,
2016-08-28,17.5,10.7,24.9,,,,,,,
2016-08-29,15.9,10.2,25,,,,,,,
2016-08-30,13.6,9.3,16.9,,,,,,,
2016-08-31,11.9,5.3,18.4,,,,,,,
2016-09-01,14.3,7.3,21.6,,,,,,,
2016-09-02,15,9.3,20.3,,,,,,,
2016-09-03,15,8.9,21.2,,,,,,,
2016-09-04,16.9,10,23.4,,,,,,,
2016-09-05,12.8,11.3,15.5,,,,,,,
2016-09-06,12.8,11.1,14.3,,,,,,,
2016-09-07,15.2,10.3,22.1,,,,,,,
2016-09-08,15.3,8.6,22.7,,,,,,,
2016-09-09,16.7,10.5,23,,,,,,,
2016-09-10,17,11.3,23.5,,,,,,,
2016-09-11,17.5,11.5,24.2,,,,,,,
2016-09-12,16.7,10.4,23.7,,,,,,,
2016-09-13,16.4,10.5,23.7,,,,,,,
2016-09-14,15.5,9.5,21.4,,,,,,,
2016-09-15,15,8.6,20.9,,,,,,,
2016-09-16,15.6,9.1,22.1,,,,,,,
2016-09-17,13.4,10.8,15.6,,,,,,,
2016-09-18,12.1,9.3,15.3,,,,,,,
2016-09-19,10.6,7.7,12.1,,,,,,,
2016-09-20,7.6,6.2,9.7,,,,,,,
2016-09-21,6.2,2.5,9.5,,,,,,,
2016-09-22,5.9,2.5,8.7,,,,,,,
2016-09-23,7.8,2.6,14.1,,,201,5.3,,,
2016-09-24,10,4.8,14.8,,,202,5,,,
2016-09-25,8.6,4.2,12.4,,,,,,,
2016-09-26,8,3.7,14,,,,,,,
2016-09-27,9,3.4,15.4,,,,,,,
2016-09-28,11.3,5,17.6,,,216,6,,,
2016-09-29,,,,,,,,,,
2016-09-30,13.5,6.7,22.5,,,,,,,
2016-10-01,12.4,6.5,18.6,,,,,,,
2016-10-02,12,5.9,18.6,,,,,,,
2016-10-03,8.9,6.5,11.3,,,,,,,
2016-10-04,6,3.2,7.9,,,,,,,
2016-10-05,0.5,-0.3,2.7,,,271,8,,,
2016-10-06,0.9,0,2.4,,,,,,,
2016-10-07,1.6,-1.3,5.2,,,,,,,
2016-10-08,2.8,-0.6,5.7,,,,,,,
2016-10-09,3.7,0.6,7.5,,,,,,,
2016-10-10,3.2,-0.1,6.7,,,,,,,
2016-10-11,2.7,1.8,3.8,,,,,,,
2016-10-12,2.8,2.1,3.6,,,,,,,
2016-10-13,2.3,1.7,3.2,,,,,,,
2016-10-14,3.2,-0.2,8.3,,,,,,,
2016-10-15,8,2.6,16,,,,,,,
2016-10-16,6.3,1.5,8.9,,,,,,,
2016-10-17,4.5,1.6,7.1,,,,,,,
2016-10-18,6.8,5.4,9.6,,,,,,,
2016-10-19,6.2,5.2,8.7,,,,,,,
2016-10-20,5.5,4.9,6.6,,,,,,,
2016-10-21,5.1,4.3,6,,,,,,,
2016-10-22,3.3,-1.3,6.8,,,,,,,
2016-10-23,2.5,-2.4,10.6,,,,,,,
2016-10-24,7.5,0.4,14.1,,,351,5.6,,,
2016-10-25,10.5,5.5,14.9,,,,,,,
2016-10-26,5.1,1.1,8.5,,,,,,,
2016-10-27,1.8,-0.6,5.3,,,,,,,
2016-10-28,3.1,-4.2,10,,,,,,,
2016-10-29,4.9,1.8,7,,,258,11.6,,,
2016-10-30,1.7,0.7,3.1,,,250,8.8,,,
2016-10-31,1.8,0,3.9,,,,,,,
2016-11-01,3.9,0.8,7.6,,,,,,,
2016-11-02,3.9,2.1,7.6,,,,,,,
2016-11-03,-0.7,-4.1,2.3,,,254,10.8,,,
2016-11-04,-1.7,-6.3,4.3,,,,,,,
2016-11-05,4.2,-2.7,10.5,,,,,,,
2016-11-06,6.4,1.9,10.3,,,,,,,
2016-11-07,0.5,-2.2,2.2,,,,,,,
2016-11-08,-1.8,-5.9,1.1,,,,,,,
2016-11-09,-1.7,-6.3,-0.4,,,,,,,
2016-11-10,-3.5,-7.9,0.3,,,,,,,
2016-11-11,0.3,-1.5,3.5,,,,,,,
2016-11-12,-2,-4.7,0.2,,,20,5.9,,,
2016-11-13,-4.6,-6.1,-3.6,,,,,,,
2016-11-14,-3.9,-8.3,-2.3,,,,,,,
2016-11-15,-5.2,-10.6,0.5,,,,,,,
2016-11-16,-1,-3.4,1.1,,,,,,,
2016-11-17,0.7,-0.3,1.8,,,,,,,
2016-11-18,5.6,-0.7,10.5,,,,,,,
2016-11-19,11,6.4,13.2,,,218,16.4,,,
2016-11-20,9.6,3.4,13.3,,,218,14.6,,,
2016-11-21,13,10.7,14.2,,,165,12.2,,,
2016-11-22,12.4,8.6,15.8,,,25,10.5,,,
2016-11-23,,,,,,,,,,
2016-11-24,5.8,1.6,11.5,,,,,,,
2016-11-25,,,,,,,,,,
2016-11-26,4.4,0.4,11.8,,,,,,,
2016-11-27,1.6,-2.7,5.3,,,,,,,
2016-11-28,-5,-6.3,-3.3,,,,,,,
2016-11-29,-6.2,-11.6,-3.9,,,235,7.2,,,
2016-11-30,-3,-4.3,-1.5,,,225,6.8,,,
2016-12-01,-1.5,-3.4,0.1,,,249,11.3,,,
2016-12-02,-1.9,-3.6,0.3,,,,,,,
2016-12-03,-5,-10.7,-3.2,,,,,,,
2016-12-04,-7.5,-10.9,0.2,,,,,,,
2016-12-05,,,,,,,,,,
2016-12-06,-4.6,-9.3,-1.2,,,,,,,
2016-12-07,-5.7,-9.2,-0.8,,,,,,,
2016-12-08,2.4,-9.1,7.1,,,,,,,
2016-12-09,5,3.4,6.6,,,231,7.8,,,
2016-12-10,5.1,2.4,9.2,,,240,10.2,,,
2016-12-11,4.2,1.1,10.4,,,247,10.5,,,
2016-12-12,-1.9,-9.8,1.4,,,,,,,
2016-12-13,-9.5,-12.8,-4.3,,,,,,,
2016-12-14,-2.7,-6.3,-0.5,,,230,6.2,,,
2016-12-15,-2.2,-3.3,-1.5,,,,,,,
2016-12-16,-5.4,-9.6,-0.1,,,,,,,
2016-12-17,-3.5,-7.3,5.4,,,,,,,
2016-12-18,-2.6,-7.9,0.1,,,,,,,
2016-12-19,-2.1,-6.5,-1,,,,,,,
2016-12-20,-2.9,-6.7,5.2,,,,,,,
2016-12-21,-3.1,-5.6,2.1,,,,,,,
2016-12-22,-2.8,-5.7,3.9,,,,,,,
2016-12-23,-0.4,-5.4,5.3,,,,,,,
2016-12-24,,,,,,,,,,
2016-12-25,0.6,-0.2,1.5,,,252,10.2,,,
2016-12-26,3.1,0.6,4.9,,,240,7.4,,,
2016-12-27,-0.8,-1.9,0.8,,,247,13.2,,,
2016-12-28,-4,-4.5,-2.7,,,312,12.5,,,
2016-12-29,-6,-11.3,-4.1,,,,,,,
2016-12-30,,,,,,,,,,
2016-12-31,-4.2,-7.9,4.2,,,,,,,
2017-01-01,-3.2,-7,5.8,,,,,,,
2017-01-02,-3.6,-9.5,3.3,,,,,,,
2017-01-03,-4.4,-8,-2.2,,,249,10.5,,,
2017-01-04,-1.3,-3.3,0.1,,,253,17,,,
2017-01-05,-8.5,-13.3,-3.7,,,289,9.9,,,
2017-01-06,,,,,,,,,,
2017-01-07,-21.2,-25.3,-14.8,,,,,,,
2017-01-08,-18.3,-23.5,-11.8,,,121,4.7,,,
2017-01-09,,,,,,,,,,
2017-01-10,-14,-16.6,-9.8,,,,,,,
2017-01-11,-12.3,-17.2,-5.3,,,,,,,
2017-01-12,-5,-11.9,-1.9,,,245,8.9,,,
2017-01-13,0.1,-7.1,4.1,,,264,8.4,,,
2017-01-14,-3.8,-5.5,-1.7,,,,,,,
2017-01-15,-5.5,-9.3,-1.7,,,228,6,,,
2017-01-16,-9.2,-13.2,-3.2,,,,,,,
2017-01-17,-7.1,-9.2,-5.2,,,,,,,
2017-01-18,,,,,,,,,,
2017-01-19,-12.6,-18.2,-5.3,,,,,,,
2017-01-20,-5.2,-13.3,0.7,,,,,,,
2017-01-21,-3.4,-6.9,0.1,,,,,,,
2017-01-22,-5.5,-10.8,0.4,,,,,,,
2017-01-23,-6,-10,0.6,,,,,,,
2017-01-24,-8.5,-11,-3,,,,,,,
2017-01-25,,,,,,,,,,
2017-01-26,-6.1,-10.8,-2.5,,,,,,,
2017-01-27,-6.8,-12.3,1.8,,,,,,,
2017-01-28,-4,-9,4.4,,,,,,,
2017-01-29,-3.7,-8.3,4.7,,,,,,,
2017-01-30,-4.7,-8.5,2.7,,,,,,,
2017-01-31,-5.6,-10.4,-0.3,,,,,,,
2017-02-01,,,,,,,,,,
2017-02-02,-0.1,-1.5,1.8,,,,,,,
2017-02-03,1.5,-1.7,8,,,,,,,
2017-02-04,1,-1.8,6.7,,,,,,,
2017-02-05,0.2,-3.4,2.7,,,,,,,
2017-02-06,-1.9,-5.1,2.1,,,,,,,
2017-02-07,-5.7,-8.4,-3.2,,,14,5,,,
2017-02-08,-8.9,-9.7,-8.3,,,13,4.1,,,
2017-02-09,-6.4,-8.7,-3.2,,,,,,,
2017-02-10,,,,,,,,,,
